date,month,raw_date_text,year
2020-01-28,January,28-29,2020
2020-03-17,March,17-18 (cancelled),2020
2020-04-28,April,28-29,2020
2020-06-09,June,9-10,2020
2020-07-28,July,28-29,2020
2020-09-15,September,15-16,2020
2020-11-04,November,4-5,2020
2020-12-15,December,15-16,2020
2021-01-26,January,26-27,2021
2021-03-16,March,16-17,2021
2021-04-27,April,27-28,2021
2021-06-15,June,15-16,2021
2021-07-27,July,27-28,2021
2021-09-21,September,21-22,2021
2021-11-02,November,2-3,2021
2021-12-14,December,14-15,2021
2022-01-25,January,25-26,2022
2022-03-15,March,15-16,2022
2022-05-03,May,3-4,2022
2022-06-14,June,14-15,2022
2022-07-26,July,26-27,2022
2022-09-20,September,20-21,2022
2022-11-01,November,1-2,2022
2022-12-13,December,13-14,2022
2023-03-21,March,21-22,2023
2023-05-02,May,2-3,2023
2023-06-13,June,13-14,2023
2023-07-25,July,25-26,2023
2023-09-19,September,19-20,2023
2023-12-12,December,12-13,2023
2024-01-30,January,30-31,2024
2024-03-19,March,19-20,2024
2024-06-11,June,11-12,2024
2024-07-30,July,30-31,2024
2024-09-17,September,17-18,2024
2024-11-06,November,6-7,2024
2024-12-17,December,17-18,2024
